,stock,date,score,positive_score,negative_score,activity,avg_7_days,avg_14_days,avg_30_days
6,CERN,2022-04-19,12,21,-16,21,4,4,5
7,CERN,2022-04-20,4,18,-19,23,4,3,5
0,CF,2022-04-13,33,43,-25,170,13,9,14
1,CF,2022-04-14,-21,24,-36,102,8,8,12
2,CF,2022-04-15,16,22,-20,18,8,9,12
3,CF,2022-04-16,11,30,-24,53,7,10,12
4,CF,2022-04-17,11,27,-20,48,7,10,12
5,CF,2022-04-18,15,29,-19,42,7,9,12
6,CF,2022-04-19,9,29,-23,49,7,11,12
7,CF,2022-04-20,28,38,-20,146,12,12,12
0,SCHW,2022-04-13,10,29,-21,67,0,2,4
1,SCHW,2022-04-14,1,24,-23,100,1,2,4
2,SCHW,2022-04-15,0,29,-31,949,1,1,4
3,SCHW,2022-04-16,4,25,-23,56,4,2,4
4,SCHW,2022-04-17,1,18,-22,727,3,0,4
5,SCHW,2022-04-18,-11,41,-46,568,0,0,4
6,SCHW,2022-04-19,7,33,-25,157,2,1,4
7,SCHW,2022-04-20,2,23,-21,61,1,1,4
0,CHTR,2022-04-13,0,20,-17,24,8,9,8
1,CHTR,2022-04-14,4,22,-21,46,7,9,8
2,CHTR,2022-04-15,-4,17,-20,15,5,8,8
3,CHTR,2022-04-16,10,20,0,4,6,8,7
4,CHTR,2022-04-17,9,20,-20,7,6,8,7
5,CHTR,2022-04-18,-11,27,-33,92,4,6,6
6,CHTR,2022-04-19,9,25,-20,33,5,6,6
7,CHTR,2022-04-20,-1,21,-22,26,3,6,6
0,CVX,2022-04-13,51,89,-78,39789,-1,3,1
1,CVX,2022-04-14,8,50,-47,846,0,2,1
2,CVX,2022-04-15,-58,44,-72,5414,-7,0,-4
3,CVX,2022-04-16,17,53,-47,821,2,3,-4
4,CVX,2022-04-17,17,51,-46,868,4,3,-5
5,CVX,2022-04-18,18,53,-48,1199,3,1,-5
6,CVX,2022-04-19,-37,45,-63,2234,-4,-3,-6
7,CVX,2022-04-20,0,52,-53,1358,-1,-3,-6
0,CMG,2022-04-13,0,29,-30,109,5,8,8
1,CMG,2022-04-14,12,34,-28,142,6,8,9
2,CMG,2022-04-15,2,17,-18,57,7,7,8
3,CMG,2022-04-16,1,19,-20,64,6,6,8
4,CMG,2022-04-17,2,20,-18,65,4,6,7
5,CMG,2022-04-18,-3,31,-33,124,3,5,7
6,CMG,2022-04-19,8,35,-31,186,3,5,7
7,CMG,2022-04-20,8,26,-20,101,4,5,7
0,CB,2022-04-13,16,20,0,17,11,9,11
1,CB,2022-04-14,8,18,-20,11,12,8,11
2,CB,2022-04-15,9,20,-20,12,11,8,11
3,CB,2022-04-16,5,20,-20,4,9,7,10
4,CB,2022-04-17,-12,2,-20,3,7,7,10
