,stock,date,score,positive_score,negative_score,activity,avg_7_days,avg_14_days,avg_30_days
4,ETSY,2022-04-17,-40,35,-55,783,-35,-20,-14
5,ETSY,2022-04-18,-28,32,-47,382,-34,-22,-15
6,ETSY,2022-04-19,-11,30,-35,192,-29,-24,-15
7,ETSY,2022-04-20,34,51,-20,656,-18,-23,-14
0,RE,2022-04-13,7,20,0,3,3,4,6
1,RE,2022-04-14,20,20,0,2,4,5,6
2,RE,2022-04-15,14,20,-19,7,6,6,6
3,RE,2022-04-16,0,20,-19,2,6,5,6
4,RE,2022-04-17,9,19,0,2,9,6,6
5,RE,2022-04-18,-11,20,-17,11,6,4,5
6,RE,2022-04-19,-13,0,-19,7,3,4,4
7,RE,2022-04-20,12,20,0,5,4,4,4
0,ES,2022-04-13,14,52,-36,1017,9,9,12
1,ES,2022-04-14,4,53,-51,1071,9,8,11
2,ES,2022-04-15,-8,27,-33,154,7,7,11
3,ES,2022-04-16,28,40,-19,157,7,9,11
4,ES,2022-04-17,9,39,-34,340,7,9,10
5,ES,2022-04-18,11,56,-53,1435,9,9,9
6,ES,2022-04-19,6,52,-49,1191,9,9,9
7,ES,2022-04-20,14,51,-46,770,11,9,9
0,EXC,2022-04-13,32,41,0,155,7,10,12
1,EXC,2022-04-14,25,35,-20,74,10,10,12
2,EXC,2022-04-15,8,38,-35,151,11,10,11
3,EXC,2022-04-16,11,19,-18,11,11,11,11
4,EXC,2022-04-17,13,20,-20,6,13,10,12
5,EXC,2022-04-18,11,24,-19,42,13,10,11
6,EXC,2022-04-19,17,29,-18,39,16,11,11
7,EXC,2022-04-20,12,28,-18,46,17,10,11
0,EXPE,2022-04-13,-16,38,-45,331,-4,-2,-1
1,EXPE,2022-04-14,7,34,-28,125,-2,-2,0
2,EXPE,2022-04-15,-11,26,-33,113,-3,-2,-1
3,EXPE,2022-04-16,2,34,-33,190,-2,-2,-1
4,EXPE,2022-04-17,-3,27,-29,96,-1,-2,-1
5,EXPE,2022-04-18,3,31,-29,118,0,-2,-1
6,EXPE,2022-04-19,-7,36,-40,258,0,-3,-1
7,EXPE,2022-04-20,57,62,-34,1650,4,1,0
0,EXPD,2022-04-13,10,20,-19,4,-2,1,2
1,EXPD,2022-04-14,12,20,-19,5,0,1,2
2,EXPD,2022-04-15,10,20,0,2,4,0,2
3,EXPD,2022-04-16,-19,0,-19,2,1,0,1
4,EXPD,2022-04-17,0,20,-20,2,0,-2,1
5,EXPD,2022-04-18,15,20,0,4,2,0,1
6,EXPD,2022-04-19,0,20,-20,5,1,1,1
7,EXPD,2022-04-20,-13,0,-20,3,0,-1,0
0,EXR,2022-04-13,5,20,-20,4,13,9,9
1,EXR,2022-04-14,2,18,-20,110,14,9,8
2,EXR,2022-04-15,20,20,0,1,12,9,9
3,EXR,2022-04-16,-20,0,-20,1,8,8,8
4,EXR,2022-04-17,2,20,-20,9,5,8,8
5,EXR,2022-04-18,19,23,-20,17,6,9,8
6,EXR,2022-04-19,9,25,-19,30,7,10,8
7,EXR,2022-04-20,19,25,-20,24,8,10,8
0,XOM,2022-04-13,-11,49,-53,969,-9,-2,6
1,XOM,2022-04-14,-12,44,-50,809,-21,-2,6
2,XOM,2022-04-15,21,57,-44,1942,-18,0,4
3,XOM,2022-04-16,-14,42,-48,503,-12,0,4
4,XOM,2022-04-17,3,43,-42,443,-10,0,3
5,XOM,2022-04-18,10,45,-46,842,-7,0,2
6,XOM,2022-04-19,-6,51,-55,1295,-8,-2,2
7,XOM,2022-04-20,40,57,-41,1287,0,-2,1
0,FFIV,2022-04-13,-20,0,-20,1,-4,-2,2
1,FFIV,2022-04-14,-4,20,-19,8,-3,-2,2
2,FFIV,2022-04-15,-10,0,-20,2,-4,-4,2
3,FFIV,2022-04-16,-20,0,-20,4,-6,-6,1
4,FFIV,2022-04-17,-16,0,-20,6,-7,-5,0
5,FFIV,2022-04-18,-9,20,-20,11,-10,-6,0
6,FFIV,2022-04-19,-5,20,-19,10,-12,-8,-1
7,FFIV,2022-04-20,-5,20,-20,4,-13,-7,-1
0,FB,2022-04-13,3,39,-39,284,-21,-32,-34
1,FB,2022-04-14,-55,31,-76,11095,-19,-30,-35
2,FB,2022-04-15,-90,22,-90,35156,-21,-31,-39
3,FB,2022-04-16,3,79,-83,40163,-12,-25,-37
4,FB,2022-04-17,-78,25,-80,10984,-19,-33,-38
5,FB,2022-04-18,-2,36,-45,5304,-18,-29,-38
6,FB,2022-04-19,-49,35,-74,8938,-17,-31,-38
7,FB,2022-04-20,-41,3,-87,57542,-31,-32,-37
0,FAST,2022-04-13,43,58,-29,1183,13,13,12
1,FAST,2022-04-14,27,41,-24,156,12,15,13
2,FAST,2022-04-15,37,40,-20,130,16,16,13
3,FAST,2022-04-16,0,20,-20,6,16,14,13
4,FAST,2022-04-17,5,20,-20,13,16,14,13
5,FAST,2022-04-18,12,28,-7,59,15,14,13
6,FAST,2022-04-19,5,23,-19,36,16,15,13
7,FAST,2022-04-20,24,29,-20,36,18,14,13
0,FRT,2022-04-13,20,20,0,3,12,8,9
1,FRT,2022-04-14,15,15,0,2,13,9,9
2,FRT,2022-04-15,11,20,-20,9,10,9,9
3,FRT,2022-04-16,-10,0,-20,2,10,8,9
4,FRT,2022-04-17,-7,0,-20,3,7,7,9
5,FRT,2022-04-18,31,31,0,38,11,10,9
6,FRT,2022-04-19,4,20,0,12,10,11,9
7,FRT,2022-04-20,5,20,-19,4,10,10,8
0,FDX,2022-04-13,-7,41,-45,505,-10,-11,-9
1,FDX,2022-04-14,36,58,-47,1838,-4,-9,-8
2,FDX,2022-04-15,-24,34,-48,500,-5,-10,-9
3,FDX,2022-04-16,-41,45,-59,1682,-9,-11,-10
4,FDX,2022-04-17,-12,40,-47,748,-13,-10,-12
5,FDX,2022-04-18,33,61,-50,1941,-8,-7,-11
6,FDX,2022-04-19,-10,43,-51,1415,-8,-8,-11
7,FDX,2022-04-20,-15,38,-52,1644,-7,-7,-9
0,FIS,2022-04-13,22,36,-20,98,22,24,24
1,FIS,2022-04-14,23,31,-20,50,22,24,24
2,FIS,2022-04-15,18,28,-16,66,22,23,24
3,FIS,2022-04-16,24,33,-20,62,22,23,25
4,FIS,2022-04-17,23,31,-19,46,23,23,25
5,FIS,2022-04-18,28,32,-20,54,24,23,26
6,FIS,2022-04-19,28,36,-20,95,25,23,26
7,FIS,2022-04-20,0,30,-29,80,23,22,26
0,FITB,2022-04-13,2,19,-20,11,-1,1,3
1,FITB,2022-04-14,4,20,-19,31,0,0,3
2,FITB,2022-04-15,1,20,-17,5,0,0,3
3,FITB,2022-04-16,0,20,-20,3,2,0,3
4,FITB,2022-04-17,-3,20,-19,6,1,0,2
5,FITB,2022-04-18,3,26,-21,159,1,1,2
6,FITB,2022-04-19,-2,27,-26,149,0,0,1
7,FITB,2022-04-20,0,20,-15,17,0,0,1
0,FE,2022-04-13,-18,19,-25,28,-12,-18,-19
1,FE,2022-04-14,-5,20,-22,32,-11,-15,-19
2,FE,2022-04-15,-34,19,-38,86,-14,-16,-19
3,FE,2022-04-16,6,19,-20,12,-13,-15,-19
4,FE,2022-04-17,-17,20,-24,21,-15,-14,-19
5,FE,2022-04-18,3,9,-20,14,-14,-13,-19
6,FE,2022-04-19,-4,20,-20,9,-14,-13,-19
7,FE,2022-04-20,-3,26,-29,81,-14,-10,-19
0,FISV,2022-04-13,18,35,-3,130,9,11,9
1,FISV,2022-04-14,5,24,-20,47,8,11,9
2,FISV,2022-04-15,9,19,-18,19,7,10,9
3,FISV,2022-04-16,17,22,-20,20,9,10,10
4,FISV,2022-04-17,-1,27,-30,657,8,9,10
5,FISV,2022-04-18,0,16,-20,21,8,8,9
6,FISV,2022-04-19,2,24,-24,59,8,7,9
7,FISV,2022-04-20,0,34,-35,201,6,7,9
0,FMC,2022-04-13,5,20,-19,12,14,11,12
1,FMC,2022-04-14,9,21,-19,19,11,12,12
2,FMC,2022-04-15,-2,20,-20,11,9,11,12
3,FMC,2022-04-16,7,20,-20,3,7,11,12
4,FMC,2022-04-17,0,20,-20,13,6,11,11
5,FMC,2022-04-18,18,23,-20,21,7,12,11
6,FMC,2022-04-19,36,43,-23,172,8,12,12
7,FMC,2022-04-20,27,35,-19,83,10,14,12
0,F,2022-04-13,31,63,-41,3422,18,13,7
1,F,2022-04-14,44,67,-42,3675,18,12,8
2,F,2022-04-15,41,62,-28,3820,20,12,9
3,F,2022-04-16,44,62,-40,1984,23,14,10
4,F,2022-04-17,9,54,-41,4756,21,16,10
5,F,2022-04-18,-10,50,-60,5804,15,15,8
6,F,2022-04-19,-26,57,-67,5031,13,14,7
7,F,2022-04-20,30,53,-30,1126,22,19,9
0,FTNT,2022-04-13,17,39,-28,160,17,16,12
1,FTNT,2022-04-14,19,38,-21,164,17,16,13
2,FTNT,2022-04-15,9,28,-20,69,16,16,12
3,FTNT,2022-04-16,10,20,0,29,15,16,13
4,FTNT,2022-04-17,-1,20,-20,27,14,14,12
5,FTNT,2022-04-18,8,30,-23,97,13,15,11
6,FTNT,2022-04-19,23,38,-13,147,14,15,12
7,FTNT,2022-04-20,14,36,-27,134,12,15,13
0,FTV,2022-04-13,7,20,-19,3,2,4,5
1,FTV,2022-04-14,7,20,-20,3,3,4,5
2,FTV,2022-04-15,20,20,0,1,5,4,6
3,FTV,2022-04-17,-7,19,-20,3,7,1,5
4,FTV,2022-04-18,0,20,-20,5,6,2,5
5,FTV,2022-04-19,20,20,0,2,8,4,5
6,FTV,2022-04-20,20,20,0,3,10,6,5
0,FBHS,2022-04-13,-14,20,-25,27,-7,-7,-3
1,FBHS,2022-04-14,-23,20,-27,25,-11,-7,-4
2,FBHS,2022-04-15,-11,15,-19,4,-11,-8,-5
3,FBHS,2022-04-16,-20,0,-20,3,-12,-9,-6
4,FBHS,2022-04-17,20,20,0,2,-9,-7,-5
5,FBHS,2022-04-18,-15,0,-19,5,-11,-7,-6
6,FBHS,2022-04-19,-1,17,-19,8,-10,-6,-6
7,FBHS,2022-04-20,3,20,-20,7,-8,-7,-6
0,FOXA,2022-04-13,9,20,-19,12,6,3,4
1,FOXA,2022-04-14,12,20,0,5,6,4,5
2,FOXA,2022-04-15,-20,0,-20,2,2,3,4
3,FOXA,2022-04-17,18,22,-19,16,5,4,4
4,FOXA,2022-04-18,0,0,0,3,4,4,4
5,FOXA,2022-04-19,7,20,-20,13,7,5,5
6,FOXA,2022-04-20,9,20,0,9,6,5,4
0,FOX,2022-04-13,19,28,-19,50,26,20,14
1,FOX,2022-04-14,28,31,-20,44,27,21,15
2,FOX,2022-04-15,34,37,-20,80,30,23,15
3,FOX,2022-04-16,-35,20,-36,69,26,20,14
4,FOX,2022-04-17,11,20,-20,11,24,21,14
5,FOX,2022-04-18,20,30,-20,61,22,21,14
6,FOX,2022-04-19,8,21,-20,41,18,19,14
7,FOX,2022-04-20,15,20,0,16,15,20,15
0,BEN,2022-04-13,-8,19,-25,38,3,5,5
1,BEN,2022-04-14,14,28,-20,45,4,5,5
2,BEN,2022-04-15,7,20,-19,12,4,5,5
3,BEN,2022-04-16,0,20,-19,10,4,5,5
4,BEN,2022-04-17,3,21,-19,38,5,4,5
5,BEN,2022-04-18,2,20,-19,21,3,4,5
6,BEN,2022-04-19,9,26,-20,58,3,4,5
7,BEN,2022-04-20,0,20,-20,20,3,4,5
0,FCX,2022-04-13,6,29,-21,87,9,14,18
1,FCX,2022-04-14,20,35,-21,97,11,14,17
2,FCX,2022-04-15,20,30,-19,52,15,13,18
3,FCX,2022-04-16,16,27,-19,49,14,13,17
4,FCX,2022-04-17,6,27,-18,168,11,12,16
5,FCX,2022-04-18,21,38,-17,172,14,12,16
6,FCX,2022-04-19,12,31,-19,104,15,12,16
7,FCX,2022-04-20,8,32,-22,176,14,11,15
0,GPS,2022-04-13,23,49,-40,555,14,11,5
1,GPS,2022-04-14,6,25,-20,42,9,9,6
2,GPS,2022-04-15,0,0,0,18,10,9,5
3,GPS,2022-04-16,34,38,-19,99,12,11,6
4,GPS,2022-04-17,8,20,-20,23,11,12,6
5,GPS,2022-04-18,10,32,-26,105,12,13,7
6,GPS,2022-04-19,-1,19,-21,65,13,12,6
7,GPS,2022-04-20,2,20,-20,16,9,12,6
0,GRMN,2022-04-13,15,37,-27,212,19,16,14
1,GRMN,2022-04-14,33,46,-22,347,21,17,15
2,GRMN,2022-04-15,19,37,-16,164,22,18,16
3,GRMN,2022-04-16,3,42,-41,341,21,17,16
4,GRMN,2022-04-17,16,32,-20,117,19,17,15
5,GRMN,2022-04-18,16,40,-30,236,20,19,15
6,GRMN,2022-04-19,14,40,-28,418,16,18,15
7,GRMN,2022-04-20,22,46,-31,490,16,19,15
0,IT,2022-04-13,15,43,-37,385,14,14,14
1,IT,2022-04-14,16,40,-24,286,12,14,14
2,IT,2022-04-15,9,34,-22,203,11,13,14
3,IT,2022-04-16,20,38,-20,163,11,13,14
4,IT,2022-04-17,18,34,-15,108,11,14,14
5,IT,2022-04-18,14,33,-19,198,12,14,15
6,IT,2022-04-19,13,40,-24,454,15,14,15
7,IT,2022-04-20,25,41,-21,268,18,15,15
0,GNRC,2022-04-13,6,20,-19,7,-2,1,4
1,GNRC,2022-04-14,-5,20,-22,24,-4,0,3
2,GNRC,2022-04-15,4,20,-19,12,-3,0,3
3,GNRC,2022-04-16,-16,20,-22,17,-4,-2,2
4,GNRC,2022-04-17,0,20,-20,3,-5,-1,2
5,GNRC,2022-04-18,-17,20,-22,15,-8,-2,1
6,GNRC,2022-04-19,14,21,-20,30,-6,-1,1
7,GNRC,2022-04-20,0,20,-19,16,-4,-2,1
0,GD,2022-04-13,7,43,-39,373,0,2,3
1,GD,2022-04-14,9,33,-26,145,3,3,4
2,GD,2022-04-15,-2,20,-20,44,0,2,4
3,GD,2022-04-16,2,21,-19,38,-2,2,4
4,GD,2022-04-17,16,27,-19,41,0,1,4
5,GD,2022-04-18,11,37,-31,168,2,1,4
6,GD,2022-04-19,10,29,-19,112,2,3,4
7,GD,2022-04-20,22,36,-22,252,5,4,5
